host_id,h_gen,h_age,h_etn,host_since_year
2870de8d7365212bef4ef3ac7dada692,Female,30-39,Others,2009
ece117917c939ba90adda8888baea843,Female,30-39,Black,2010
9a63a6438786cf2663d47b55311d6d9d,Female,30-39,Others,2010
0d9334d962853fe14d1bc061c21ce59f,Male,30-39,White,2010
8189c755d769b2763f276c79f638bd27,Male,30-39,White,2010
47a0c795400c9d60ffab0f4e2d15f8b2,Male,40+,White,2010
a1ea974872460698e123d6567ece8b3c,Female,30-39,Black,2010
30e149df14b791751b1eb9fdb29ce3ed,Male,30-39,White,2010
b76fd1fd67b5c0cdb9c4f2edf24c805a,Female,40+,White,2010
918de288a593a79b67479cec5a1ed102,Female,40+,White,2010
3095492ef5c737c30d69de5aed70a323,Female,30-39,White,2010
53cd18bb8674aea300fa451e92795d0b,Female,40+,Others,2010
ce53e8bd538a73193bca13c42fe6812c,Female,40+,Others,2010
32e95f4d4e8cf38dbc8c1916cc04d457,Female,18-29,White,2010
fc5f7a14fdf206c0ad684a6d398aaed0,Female,40+,White,2010
602bc2d732c151d0c935276acd9d527a,Male,40+,Others,2010
d9ec37e600d2573933256c12544c3b17,Female,30-39,Others,2010
fda2f7dc6011591869d93470a6868df7,Female,18-29,Black,2009
1ff7684a7da1066de80830a6c0a39c6f,Female,40+,Others,2010
dacb7d392a950fcb5864339136ca9b9e,Female,30-39,White,2010
3369d9cc3dfb9ee7ba1d570910f0aea8,Female,18-29,White,2010
7c237763236dc7f55f1bde2da7d08a42,Male,30-39,White,2009
98adbedb4e523d4f06847cc4c3db8c39,Female,30-39,White,2010
ef618bc1bcb04d75433d9dfca34f1376,Male,40+,White,2010
5855abc49fe0752ddcb5090ba66bc056,Male,40+,Others,2010
03812cad40235c37183e6c6cd4b84dc8,Female,40+,Others,2011
51bc1ad04b793216fdf0e4de5d6e86ba,Male,40+,White,2011
cf8c5248c520c9619ebe8fd860dcbf5c,Male,30-39,White,2011
8363f49c4aa341cfd4f3800c3fa44d4d,Female,40+,White,2010
778e67e4b37e5e23951589db90d4ad3d,Female,40+,Others,2010
2443ca0386ab7d916a24174e253b47d0,Male,40+,White,2011
163b664a9e2f74e7e83d617ba6837da7,Male,30-39,White,2011
d987ca6bcc1c4aba18ceb69ec745ba4c,Female,40+,White,2011
f6e802161144fd7a4a4dc8fbc6ccc35c,Male,40+,Others,2011
9a839bf90976ea4fbff28af0b918b3ed,Male,30-39,White,2011
fdba608e7aed055eac5108326382c518,Female,40+,White,2011
ef95000c6bd292f06bd020f2eb38cc54,Female,40+,White,2011
2c08b04a16603e2b3965e819867cc2a0,Female,40+,White,2011
20bee6e4ee531c1e76cdf6ed7ca44df1,Female,40+,White,2011
274a371c9b8ffe6b6c7a4b308a47b5a6,Female,30-39,Others,2009
45686e7c6744aac02462845bffc542ab,Male,30-39,Others,2011
1d272ed5cf8401fc321e446f80b6c9e3,Female,40+,White,2011
10c6bd3a345fb6b5b121bc64d47ea638,Female,30-39,White,2011
0c6946f467c784665c372538e1b673f3,Female,30-39,White,2011
d64a8e6d92ca585daeef0732ad732c5e,Female,18-29,White,2011
526169f300d0f1de534c0212e1949393,Female,30-39,Others,2011
44684ebefb309761829d69c336e49a7e,Female,18-29,White,2011
cd566771c5694a5280c6364314032f28,Female,40+,White,2011
73053276390b54ec143dd55df1591835,Female,30-39,White,2011
4af55e33d531ec725ef43873e6c30c5c,Male,40+,White,2011
958b06c29639d24bc1cda42250bfd907,Male,30-39,Others,2010
4918849cb12e8cb0ee6f9d92a8cc76e4,Male,30-39,Others,2011
